변수명,Lasso_계수,ElasticNet_계수,수요변수여부
TYPE_발달상권,1.5928730852152715,1.5895389741116746,더미
TYPE_관광특구,0.8163812890285129,0.7844876344784796,더미
총_상주인구_수,-0.6171162841392358,-0.615218396278726,수요
총_가구_수,0.5729993682870158,0.5715255614348085,수요
집객시설_수,0.33958396655347367,0.34041713553950176,수요
월_평균_소득_금액,0.2841355005659841,0.28408464801079053,수요
TYPE_전통시장,0.2210338658143741,0.21994538716480844,더미
지출_총금액,0.17912584014490762,0.17510559128765427,수요
카페_검색지수,0.17903401980294495,0.17890754998199085,수요
총_직장_인구_수,0.16716425755046435,0.16763428733845773,수요
Q_20251,-0.14304101563761432,-0.14279187841039956,더미
Q_20241,-0.09388131148541955,-0.09366113914735784,더미
Q_20234,-0.08065594428810084,-0.08045408604704304,더미
Q_20244,-0.06601873858901651,-0.06585407113352917,더미
지하철_노선_수,0.06540681362061712,0.06574431767733833,수요
Q_20242,0.04674688627052449,0.04681790335914216,더미
여가_지출_총금액,0.0022012073554134987,0.00559859709537982,수요
