상권_코드_명,상권유형,집객시설_수,총_직장_인구_수,월_평균_소득_금액,총_가구_수,카페_검색지수,지하철_노선_수,집객시설_수_pct,총_직장_인구_수_pct,월_평균_소득_금액_pct,총_가구_수_pct,카페_검색지수_pct,지하철_노선_수_pct,그룹,순위,residual_latest,supply_pct
경향신문사,골목상권,10.0,2843.0,1554706.0,6.0,1.4983666666666666,1,0.27702702702702703,0.7886100386100386,0.0009652509652509653,0.0028957528957528956,0.6283783783783784,0.611003861003861,Q1_검증시장공백,5,2.965718810357899,0.7654440154440154
광나루역 1번,골목상권,10.0,1004.0,3221582.0,533.0,0.8290233333333333,1,0.27702702702702703,0.5878378378378378,0.7905405405405406,0.20366795366795368,0.40202702702702703,0.611003861003861,Q1_검증시장공백,4,3.1357085320456903,0.7664092664092664
외대앞역 1번,골목상권,27.0,494.0,2274022.0,1411.0,0.2411799999999999,1,0.7041505791505791,0.36824324324324326,0.11196911196911197,0.543918918918919,0.07528957528957529,0.611003861003861,Q1_검증시장공백,2,3.197972259577181,0.7668918918918919
성신여대입구역 4번,골목상권,13.0,624.0,2619792.0,979.0,0.4211466666666666,2,0.3856177606177606,0.4560810810810811,0.47876447876447875,0.3918918918918919,0.152992277992278,0.8658301158301158,Q1_검증시장공백,3,3.1789725105055027,0.7712355212355213
서울역,발달상권,100.0,27333.0,1768088.0,554.0,22.650006666666663,4,0.9676640926640927,0.974903474903475,0.0028957528957528956,0.21814671814671815,0.9961389961389961,0.9855212355212355,Q2_잠재수요미실현,1,-0.350104715480942,0.7702702702702703
상봉역,발달상권,80.0,2554.0,3423056.0,3691.0,2.15591,3,0.9382239382239382,0.777027027027027,0.8407335907335908,0.9121621621621622,0.7306949806949807,0.9623552123552124,Q2_잠재수요미실현,3,-0.0173344152997749,0.7615830115830116
응암역,발달상권,22.0,457.0,2548843.0,1412.0,0.8504133333333334,1,0.6158301158301158,0.3407335907335907,0.4015444015444015,0.5453667953667953,0.4126447876447876,0.611003861003861,Q2_잠재수요미실현,5,-0.0951895755499023,0.7577220077220077
충정로역,발달상권,27.0,3793.0,4880648.0,757.0,0.6398333333333334,2,0.7041505791505791,0.8166023166023166,0.971042471042471,0.305984555984556,0.28812741312741313,0.8658301158301158,Q2_잠재수요미실현,4,-0.1001102925712267,0.7601351351351351
대치역,발달상권,79.0,12518.0,6241887.0,374.0,0.3661966666666666,1,0.9353281853281853,0.9314671814671814,0.999034749034749,0.13079150579150578,0.12837837837837837,0.611003861003861,Q2_잠재수요미실현,2,-1.0053919942538876,0.7688223938223939
홍대소상공인상점가,전통시장,2.0,475.0,2622376.0,247.0,6.541496666666667,3,0.02557915057915058,0.35424710424710426,0.4826254826254826,0.06998069498069498,0.956081081081081,0.9623552123552124,Q1_검증시장공백,1,3.2311428724263784,0.7514478764478765
