q2_score,q2_residual_score,q2_supply_score,상권_코드,상권_코드_명,상권유형,residual_latest,residual_avg,supply_shortage,cafe_revenue_per_store,카페음료_점포수,찻집수_latest,매출_latest,사분면,구조적블루오션
0.8168436293436294,0.8832046332046332,0.7504826254826256,3001495,잠실 관광특구,관광특구,-1.5675414422243603,-1.3011803723276378,1.0,95159043.009009,110.0,0,10562653774,Q2_잠재수요미실현,True
0.7888513513513514,0.8088803088803089,0.7688223938223939,3120220,대치역,발달상권,-1.0053919942538876,-1.2289932677003077,1.0,153746720.42857143,6.0,0,1076227043,Q2_잠재수요미실현,True
0.7637548262548263,0.9671814671814671,0.5603281853281854,3120216,경기고교사거리(경기고교앞사거리),발달상권,-2.8314073176909247,-2.942948118391728,1.0,18919614.333333332,2.0,0,56758843,Q2_잠재수요미실현,True
0.7485521235521235,0.7548262548262548,0.7422779922779923,3120179,양재역,발달상권,-0.7179895796943647,-0.8040464588455648,1.0,86610953.74418604,42.0,0,3724271011,Q2_잠재수요미실현,True
0.7446911196911197,0.8716216216216216,0.6177606177606179,3120223,휘문고교사거리,발달상권,-1.4382199739905277,-1.6154663013744823,1.0,30294793.583333332,11.0,0,363537523,Q2_잠재수요미실현,True
0.740588803088803,0.859073359073359,0.622104247104247,3120095,홍제역,발달상권,-1.339255841416545,-1.1518769868369398,1.0,30726678.57142857,6.0,0,215086750,Q2_잠재수요미실현,True
0.7398648648648649,0.7355212355212355,0.7442084942084942,3120241,거여역,발달상권,-0.6154693938309919,-0.2382360515388586,1.0,88316850.66666667,2.0,0,264950552,Q2_잠재수요미실현,True
0.7398648648648649,0.8156370656370656,0.6640926640926641,3120061,올림픽대교북단,발달상권,-1.0937643829066983,-1.4247729643544231,1.0,41960544.333333336,2.0,0,125881633,Q2_잠재수요미실현,True
0.7362451737451738,0.7442084942084942,0.7282818532818534,3120247,굽은다리역,발달상권,-0.6627262840815327,-0.8185664842650762,1.0,74316630.66666667,2.0,0,222949892,Q2_잠재수요미실현,True
0.7333494208494209,0.7982625482625483,0.6684362934362935,3120150,63빌딩,발달상권,-0.939350309393614,-0.9414783813738686,1.0,42805332.28571428,6.0,0,299637326,Q2_잠재수요미실현,True
0.7210424710424711,0.7413127413127414,0.7007722007722008,3120157,신림역(신림),발달상권,-0.6525132238120861,-0.6926339980298961,1.0,58226130.28571428,27.0,0,1630331648,Q2_잠재수요미실현,True
0.7171814671814672,0.7306949806949807,0.7036679536679538,3120011,종로4가,발달상권,-0.6064517522820623,-0.4649871134048197,1.0,59918076.777777776,8.0,0,539262691,Q2_잠재수요미실현,True
