총_유동인구_수,총_직장_인구_수,총_상주인구_수,총_가구_수,월_평균_소득_금액,여가_지출_총금액,지출_총금액,아파트_평균_시가,집객시설_수,찻집_수,카페음료_점포수,스타벅스_리저브_수,공급갭_지수,유동밀도_지수,상주밀도_지수,여가소비_지수,카페_검색지수,검색량_성장률,카페_개업률,유동인구_성장률,지하철_역_수,지하철_노선_수
0.13571048,0.57228565,-0.023077138,0.19546579,0.16370718,0.11376126,-0.19106835,-0.009227627,0.7904035,0.019033425,1.8000565,-0.00023220126,0.25071913,-0.0066418936,0.05871063,-0.046068605,0.1127974,-0.0053811953,0.035122372,0.0010299459,0.0494083,-0.026908875
0.010439721,0.8092409,0.05706505,-0.062420554,0.22513042,-0.06629043,0.06295814,0.20548275,0.7229038,0.033069983,1.4799726,-0.015747132,0.15421896,0.0031667307,0.14691967,0.057179056,0.09239048,0.009145855,0.039141312,0.003555494,0.06123169,-0.015805729
0.09304681,-0.24643691,-0.2535354,0.22852945,-0.19450593,0.18665877,-0.084478505,-0.008623344,-0.22430106,-0.007996605,-0.054607566,0.00022692699,0.08395151,-0.011110955,-0.22421862,-0.057663687,0.022778828,-0.0042496524,0.007619498,0.0067546736,-0.020416912,0.062826894
0.020627715,-0.19506976,-0.085871726,0.109270975,-0.46176413,-0.017627724,-0.45027947,-0.18776411,-0.20217918,-0.0063699908,-0.4191236,0.00023496544,0.041020088,-0.036777817,-0.11715545,-0.124054074,0.12958786,0.0062664705,-0.29213175,-0.025273507,-0.022352407,0.010804715
0.02083821,-0.55953836,0.090988435,-0.1986966,-0.06532361,-0.17189303,-0.17514613,-0.13617516,-0.38361463,-0.0062517617,-0.3486436,-4.9994633e-05,-0.069822915,-0.0005406954,0.13361777,-0.14801005,-0.097665325,-0.008691514,0.010466231,0.0051264083,-0.025640614,-0.01483834
0.047307152,0.80126673,-0.019575208,0.14405474,0.3792851,0.23321585,-0.18026751,-0.12118155,0.8064001,-0.004521162,1.3956176,-0.00029179573,0.26489553,-0.011153261,-0.03366003,-0.01592622,0.08749165,-0.0064894883,0.039123975,0.008679593,0.06647578,0.015915914
0.14597633,0.34784955,-0.04627102,0.092026666,0.41693982,0.09317059,-0.08399116,-0.057829425,-0.26068097,-0.006408638,0.25075606,-7.347405e-05,0.05069663,0.049914576,-0.17154789,-0.011601789,0.16272493,0.005487989,0.023957951,0.013678942,-0.032686304,0.023050267
0.013858959,-0.27078763,0.078092806,-0.101091266,-0.14966743,-0.02290544,-0.0551236,-0.08480262,-0.47751635,-0.0063845324,-0.32455966,0.00020764777,-0.07642143,0.014944263,0.021213287,0.037123702,0.04680752,0.0038337265,0.008895472,0.010332559,-0.01506917,-0.050105084
0.088474795,-0.037044547,-0.029501854,0.16602822,-0.029557375,0.11867798,-0.18537486,-0.1132432,-0.2887638,-0.007513522,-0.01604477,0.00018686193,-0.028979065,0.005014285,0.10344179,-0.051519938,0.18701047,-0.0014005449,0.0107423,0.011837287,-0.026474444,-0.03532693
-0.1552569,0.122786224,0.073314965,-0.2463271,0.07604625,-0.016450655,-0.052360326,-0.02544737,-0.5983353,-0.0073011606,0.04816137,9.831232e-05,-0.040737204,0.053697806,0.012931348,-0.025767475,-0.33871776,-0.010634317,-0.001520349,0.00814187,-0.022818267,0.049982
-0.1537169,-0.23385125,0.075911425,-0.15934262,0.041442,-0.0038770407,0.11848741,-0.067645535,-0.5534627,-0.0056008208,-0.6086526,7.506354e-05,-0.08304895,-0.0072370833,-0.013383315,-0.013710805,-0.035867658,0.0034096236,-0.008702886,0.02349859,-0.012241834,0.05899448
0.038282793,0.011594374,-0.21967179,0.26691687,-0.41292337,0.07961137,-0.40786734,-0.015774501,0.008837521,-0.0065851524,-0.10001761,-6.457474e-05,-0.04934209,-0.021563293,-0.15929,-0.18199989,0.20487495,-0.0019746493,-0.069043204,-0.0090888385,-0.030929534,-0.056552976
-0.080680795,-0.27340692,-0.040689316,-0.2103079,-0.44630006,-0.040303808,0.04109147,-0.30205408,-0.4005033,-0.005994839,-0.5041581,0.00033528946,-0.045774337,-0.20248349,0.09260129,0.042105578,-0.09880981,0.009087168,-0.28726432,-0.044363502,-0.0138782915,-0.020453308
0.06211657,0.100708574,-0.018606499,0.098787,0.3138122,0.07631429,0.07635048,-0.03405231,0.61508393,-0.0031562916,0.58495337,-0.005633632,0.18446843,0.010602474,0.061950248,-0.056608636,0.10645682,-0.0033367763,0.043727662,0.01139294,0.098075345,-0.023376713
0.0316356,-0.43932405,0.032088727,-0.09059638,-0.08102244,0.03372621,0.040852793,0.13011968,-0.55586666,-0.006356132,-0.43050635,0.00039486107,-0.05113644,0.0048065004,0.026361026,-0.07799011,-0.22110167,-0.006706711,-0.15299207,-0.015393804,-0.01148685,-0.03532744
-0.034970097,-0.4198886,0.07162534,-0.35772195,0.13766366,-0.023100726,0.18676037,-0.16645047,-0.30079928,-0.006606062,-0.5056458,-0.00011017027,-0.05711155,-0.013414659,0.16197313,0.016196951,0.19665556,0.009076515,0.0013674822,0.0019367042,0.0032397425,0.07033202
0.09311958,-0.041799273,-0.10320525,0.24268395,-0.035459325,0.08072702,-0.064470045,0.048990395,-0.24694356,0.04459729,-0.12748826,0.00030161114,-0.06037331,0.03267438,0.032246575,0.07826601,-0.06190696,0.065921344,0.0034644068,0.022848517,-0.026265746,0.02265865
-0.11150928,-0.7116895,0.06869446,-0.14939983,-0.34237483,0.015141645,0.06936917,-0.23488577,-0.5518607,-0.0050000227,-0.52751863,0.00016239048,-0.03869315,-0.045460943,0.0038058502,0.002714958,-0.022962375,0.049175873,-0.017401362,-0.024152726,-0.011796602,-0.02143839
-0.09623783,-0.86929667,0.061373096,-0.072253264,-0.2837593,-0.021043709,0.18189168,0.3201248,-0.5218699,-0.006862478,-0.6833472,0.00013595274,-0.05621552,0.084547974,0.058585674,0.0040708394,0.012755126,-0.0111174835,-0.027077427,-0.023091858,-0.011763629,0.010848261
