기준_년분기_코드,상권_코드,카페_검색지수,검색량_성장률,카페_개업률,유동인구_성장률
20233,3001491,6.700073333333333,-13.493974555456434,3.0,
20234,3001491,6.405046666666666,-4.403334888871868,3.0,-0.6794785283846472
20241,3001491,6.684583333333333,4.364318969312753,5.0,1.8241812445253247
20242,3001491,5.597406666666667,-16.263940659477647,4.0,0.6793876694989098
20243,3001491,6.145053333333333,9.783935655916842,2.0,-2.693682142926268
20244,3001491,6.74027,9.686110671130589,1.0,1.0904294368111689
20251,3001491,6.09121,-9.62958457153793,1.0,-3.8058127064697134
20252,3001491,5.078156666666668,-16.631397264801784,,1.4153291362298814
20253,3001491,5.07484,-0.065312413231322,2.0,0.9007209129098248
20233,3001492,1.77975,10.107380086737216,4.0,
20234,3001492,1.8623566666666669,4.6414758627147945,4.0,6.4274170166721545
20241,3001492,1.77385,-4.752401527097383,3.0,-5.108466457414296
20242,3001492,1.5776566666666667,-11.060311375445131,3.0,2.9782189932561653
20243,3001492,1.67096,5.914045514761335,4.0,-1.5001301611503592
20244,3001492,1.6868166666666664,0.948955490656056,3.0,8.487889447638853
20251,3001492,1.6031000000000002,-4.962997361894672,3.0,-8.579451164775865
20252,3001492,1.5603233333333335,-2.66837169650469,,0.3105611120528984
20253,3001492,1.7679466666666668,13.306430077526654,3.0,1.2072889236372175
20233,3001493,1.8225266666666664,-17.10852067973807,8.0,
20234,3001493,1.6219099999999995,-11.007612142849322,3.0,11.85015467916224
20241,3001493,1.8748933333333333,15.597865068550876,4.0,-5.117455191254527
20242,3001493,1.59204,-15.086369357901251,1.0,6.280609591793329
20243,3001493,1.6871866666666666,5.976399252950104,5.0,-8.349960009796698
20244,3001493,1.0930733333333331,-35.21325441168335,2.0,7.824259609096407
20251,3001493,1.14212,4.487042650386375,3.0,-7.03897916010262
20252,3001493,1.049923333333333,-8.072415041034809,,5.604593003972758
20253,3001493,1.1989133333333333,14.190559945646818,4.0,-6.933388123017748
20233,3001494,0.7453099999999999,3.5881731588895738,3.0,
20234,3001494,0.6833533333333333,-8.312872048767183,4.0,3.1171607675213986
20241,3001494,0.70253,2.806259328995253,2.0,-2.0038440127266854
20242,3001494,0.5575966666666666,-20.63019847313757,4.0,0.5147144890126576
20243,3001494,0.56645,1.5877665457110668,6.0,-4.653709783384308
20244,3001494,0.5240366666666667,-7.487568776296816,2.0,4.783661602020417
20251,3001494,0.6320899999999999,20.61942230505496,1.0,-3.874814484485123
