q2_score,q2_residual_score,q2_supply_score,상권_코드,상권_코드_명,상권유형,residual_latest,residual_avg,supply_shortage,찻집수_latest,매출_latest,사분면,구조적블루오션
0.777992277992278,0.999034749034749,0.556949806949807,3110782,영등포시장역 4번,골목상권,-6.207573648201372,-5.498832344049924,1.0,0,121015,Q2_잠재수요미실현,True
0.7775096525096525,0.9980694980694981,0.556949806949807,3110029,동대문역 1번,골목상권,-6.123440103531639,-4.741766959230713,1.0,0,152478,Q2_잠재수요미실현,True
0.7765444015444016,0.9961389961389961,0.556949806949807,3110698,개웅초등학교(개웅중학교),골목상권,-5.571480330391877,-2.0056258088257,1.0,0,233074,Q2_잠재수요미실현,True
0.7760617760617761,0.9951737451737451,0.556949806949807,3110930,서초동성당,골목상권,-5.274822623183681,-5.576391672483092,1.0,0,9767600,Q2_잠재수요미실현,True
0.7755791505791506,0.9942084942084942,0.556949806949807,3110152,중곡어린이공원,골목상권,-5.044649988387787,-3.2355512089703504,1.0,0,303980,Q2_잠재수요미실현,True
0.7750965250965252,0.9932432432432432,0.556949806949807,3110736,독산119안전센터,골목상권,-4.676200259532967,-3.1003609822242804,1.0,0,582406,Q2_잠재수요미실현,True
0.7746138996138996,0.9922779922779923,0.556949806949807,3110628,신목동역,골목상권,-4.564332981219978,-4.737667190205001,1.0,0,796676,Q2_잠재수요미실현,True
0.7741312741312741,0.9913127413127413,0.556949806949807,3110357,가오리역 1번,골목상권,-4.505014354746695,-3.721321503880448,1.0,0,579981,Q2_잠재수요미실현,True
0.7736486486486487,0.9903474903474904,0.556949806949807,3120155,총신대학교,발달상권,-4.4449963088026205,-4.300523842260343,1.0,0,3473921,Q2_잠재수요미실현,True
0.7731660231660231,0.9893822393822393,0.556949806949807,3110929,남부터미널역 1번,골목상권,-4.267735936131265,-3.3094665782258605,1.0,0,1831674,Q2_잠재수요미실현,True
0.7726833976833978,0.9884169884169884,0.556949806949807,3110653,화곡역 2번,골목상권,-4.17135654220658,-2.5895619760066317,1.0,0,992816,Q2_잠재수요미실현,True
0.7717181467181468,0.9864864864864865,0.556949806949807,3110359,수유시장옆,골목상권,-3.9452216370617528,-3.877450202628138,1.0,0,976239,Q2_잠재수요미실현,True
0.7712355212355213,0.9855212355212355,0.556949806949807,3110621,목동역 5번,골목상권,-3.894078756071899,-2.0479373507141365,1.0,0,2592566,Q2_잠재수요미실현,True
0.7707528957528957,0.9845559845559846,0.556949806949807,3111064,둔촌동역 4번,골목상권,-3.807248830614437,-1.0403863619897638,1.0,0,1331430,Q2_잠재수요미실현,True
0.7702702702702703,0.9835907335907336,0.556949806949807,3110452,새절역 3번,골목상권,-3.7696854524420074,-2.6159586567072326,1.0,0,1535568,Q2_잠재수요미실현,True
0.7697876447876448,0.9826254826254827,0.556949806949807,3110211,전곡마을마당공원,골목상권,-3.6152892667038703,-3.2939485912309348,1.0,0,1729941,Q2_잠재수요미실현,True
0.7693050193050193,0.9816602316602316,0.556949806949807,3110873,당곡중학교,골목상권,-3.5172717348990563,-1.0383419810021797,1.0,0,2126542,Q2_잠재수요미실현,True
0.7683397683397684,0.9797297297297297,0.556949806949807,3130258,영진시장A동,전통시장,-3.4152514479624507,-3.16092954811959,1.0,0,1606368,Q2_잠재수요미실현,True
0.7678571428571429,0.9787644787644788,0.556949806949807,3110532,아현역 2번,골목상권,-3.315766983050654,-3.639578676347678,1.0,0,2259559,Q2_잠재수요미실현,True
0.7673745173745175,0.9777992277992278,0.556949806949807,3130086,서울약령시장,전통시장,-3.315614094947488,-3.290928029825958,1.0,0,9000000,Q2_잠재수요미실현,True
0.7668918918918919,0.9768339768339769,0.556949806949807,3110974,언주중학교,골목상권,-3.2981295887751347,-2.4825497699409813,1.0,0,3942298,Q2_잠재수요미실현,True
0.7664092664092664,0.9758687258687259,0.556949806949807,3110617,등촌역 4번,골목상권,-3.2582812335805063,-2.483985534249189,1.0,0,2350955,Q2_잠재수요미실현,True
0.765926640926641,0.974903474903475,0.556949806949807,3110470,신진과학기술고등학교,골목상권,-3.249759216397571,-1.6033971123863069,1.0,0,2123767,Q2_잠재수요미실현,True
0.7654440154440154,0.9739382239382239,0.556949806949807,3110167,용마초등학교,골목상권,-3.1589140655442947,-1.4326971334931702,1.0,0,4314113,Q2_잠재수요미실현,True
0.7649613899613901,0.972972972972973,0.556949806949807,3110360,수유초등학교,골목상권,-3.1230296233137143,-2.013742382158941,1.0,0,2697248,Q2_잠재수요미실현,True
0.7644787644787645,0.972007722007722,0.556949806949807,3110756,문래중학교,골목상권,-3.06686338601668,-2.698938735447145,1.0,0,4423904,Q2_잠재수요미실현,True
0.7639961389961389,0.971042471042471,0.556949806949807,3110135,성동세무서,골목상권,-3.02286179726398,-2.7829192133465197,1.0,0,7341044,Q2_잠재수요미실현,True
0.7635135135135136,0.9700772200772201,0.556949806949807,3110848,양지어린이공원,골목상권,-2.994394638348929,-2.453460982370366,1.0,0,3177890,Q2_잠재수요미실현,True
0.7625482625482626,0.9681467181467182,0.556949806949807,3110665,곰달래도서관,골목상권,-2.8741281151761733,-2.783029953731221,1.0,0,3478498,Q2_잠재수요미실현,True
0.7620656370656371,0.9671814671814671,0.556949806949807,3120216,경기고교사거리(경기고교앞사거리),발달상권,-2.8314073176909247,-2.942948118391728,1.0,0,56758843,Q2_잠재수요미실현,True
