분기,기준_년분기_코드,사분면,사분면_레이블,상권유형,당월_매출_금액,oof_residual,카페_검색지수,상권_코드_명
2023Q3,20233,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,8635810322.0,-1.2911418067344762,2.446944618550174,
2023Q4,20234,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,10567344870.0,-1.0693854230304185,2.3534055998733776,
2024Q1,20241,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,9363648004.0,-1.1663874207898957,2.4735654680038204,
2024Q2,20242,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,11528511757.0,-1.1135198710994416,2.2946553831417624,
2024Q3,20243,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,11072510369.0,-1.1049534261494145,2.268499056724028,
2024Q4,20244,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,10912180197.0,-1.4515216205487782,2.148196082457816,
2025Q1,20251,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,9764662530.0,-1.4851893099863815,2.326168758454106,
2025Q2,20252,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,11637349854.0,-1.4609830303855738,2.134351564823796,
2025Q3,20253,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,10562653774.0,-1.5675414422243603,2.038376914414414,
2023Q3,20233,Q1_검증시장공백,Q1_검증시장공백,골목상권,745810788.0,3.018963144070682,2.446944618550174,
2023Q4,20234,Q1_검증시장공백,Q1_검증시장공백,골목상권,720623013.0,3.065011702474848,2.3534055998733776,
2024Q1,20241,Q1_검증시장공백,Q1_검증시장공백,골목상권,592404597.0,2.8843020170479754,2.4735654680038204,
2024Q2,20242,Q1_검증시장공백,Q1_검증시장공백,골목상권,894130231.0,3.136630672220715,2.2946553831417624,
2024Q3,20243,Q1_검증시장공백,Q1_검증시장공백,골목상권,783382054.0,3.0579853038103444,2.268499056724028,
2024Q4,20244,Q1_검증시장공백,Q1_검증시장공백,골목상권,794200026.0,3.17738234903916,2.148196082457816,
2025Q1,20251,Q1_검증시장공백,Q1_검증시장공백,골목상권,559918964.0,2.9008192923290714,2.326168758454106,
2025Q2,20252,Q1_검증시장공백,Q1_검증시장공백,골목상권,762860723.0,3.0721482238142457,2.134351564823796,
2025Q3,20253,Q1_검증시장공백,Q1_검증시장공백,골목상권,696890668.0,2.965718810357899,2.038376914414414,
2023Q3,20233,Q1_검증시장공백,Q1_검증시장공백,골목상권,1491119067.0,3.153786193258309,2.446944618550174,
2023Q4,20234,Q1_검증시장공백,Q1_검증시장공백,골목상권,1425114812.0,3.1999495048698314,2.3534055998733776,
2024Q1,20241,Q1_검증시장공백,Q1_검증시장공백,골목상권,1318822416.0,3.158735066155085,2.4735654680038204,
2024Q2,20242,Q1_검증시장공백,Q1_검증시장공백,골목상권,1472476083.0,3.106805660949981,2.2946553831417624,
2024Q3,20243,Q1_검증시장공백,Q1_검증시장공백,골목상권,1439651141.0,3.137581317322006,2.268499056724028,
2024Q4,20244,Q1_검증시장공백,Q1_검증시장공백,골목상권,1411995523.0,3.1991758613404078,2.148196082457816,
2025Q1,20251,Q1_검증시장공백,Q1_검증시장공백,골목상권,1388030319.0,3.25713104967895,2.326168758454106,
2025Q2,20252,Q1_검증시장공백,Q1_검증시장공백,골목상권,1428151088.0,3.132901973574217,2.134351564823796,
2025Q3,20253,Q1_검증시장공백,Q1_검증시장공백,골목상권,1433479208.0,3.1357085320456903,2.038376914414414,
2023Q3,20233,Q1_검증시장공백,Q1_검증시장공백,골목상권,1231265650.0,3.084394417767616,2.446944618550174,
2023Q4,20234,Q1_검증시장공백,Q1_검증시장공백,골목상권,1351759780.0,3.2242061898205776,2.3534055998733776,
2024Q1,20241,Q1_검증시장공백,Q1_검증시장공백,골목상권,1196587067.0,3.1155303043190408,2.4735654680038204,
2024Q2,20242,Q1_검증시장공백,Q1_검증시장공백,골목상권,1889660915.0,3.4132569450003487,2.2946553831417624,
2024Q3,20243,Q1_검증시장공백,Q1_검증시장공백,골목상권,1501326909.0,3.242765169084993,2.268499056724028,
2024Q4,20244,Q1_검증시장공백,Q1_검증시장공백,골목상권,1667773261.0,3.4260947558199,2.148196082457816,
2025Q1,20251,Q1_검증시장공백,Q1_검증시장공백,골목상권,1304991818.0,3.264673518367108,2.326168758454106,
2025Q2,20252,Q1_검증시장공백,Q1_검증시장공백,골목상권,1747325067.0,3.413913858286889,2.134351564823796,
2025Q3,20253,Q1_검증시장공백,Q1_검증시장공백,골목상권,1435329365.0,3.197972259577181,2.038376914414414,
2023Q3,20233,Q1_검증시장공백,Q1_검증시장공백,골목상권,1483367457.0,3.1166393571366804,2.446944618550174,
2023Q4,20234,Q1_검증시장공백,Q1_검증시장공백,골목상권,1488294857.0,3.215590585432992,2.3534055998733776,
2024Q1,20241,Q1_검증시장공백,Q1_검증시장공백,골목상권,1497373187.0,3.2256124705010407,2.4735654680038204,
2024Q2,20242,Q1_검증시장공백,Q1_검증시장공백,골목상권,1478019191.0,3.062619757798199,2.2946553831417624,
2024Q3,20243,Q1_검증시장공백,Q1_검증시장공백,골목상권,1481010346.0,3.1112324022897155,2.268499056724028,
2024Q4,20244,Q1_검증시장공백,Q1_검증시장공백,골목상권,1466076794.0,3.167299909523045,2.148196082457816,
2025Q1,20251,Q1_검증시장공백,Q1_검증시장공백,골목상권,1423628882.0,3.2323766497631183,2.326168758454106,
2025Q2,20252,Q1_검증시장공백,Q1_검증시장공백,골목상권,1506865267.0,3.144690609969924,2.134351564823796,
2025Q3,20253,Q1_검증시장공백,Q1_검증시장공백,골목상권,1583382018.0,3.1789725105055027,2.038376914414414,
2023Q3,20233,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3782987182.0,-0.719620922805067,2.446944618550174,
2023Q4,20234,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3267862198.0,-0.8704823599545435,2.3534055998733776,
